slug,nome_pt,nome_en
acidose_lactica_esteatose_hepatica,Acidose láctica / esteatose hepática,Lactic acidosis / hepatic steatosis
acidose_metabolica,Acidose metabólica aguda,Acute metabolic acidosis
agranulocitose_historico,História de agranulocitose induzida por metamizol,History of metamizole-induced agranulocytosis
alcoolismo,Alcoolismo,Alcoholism
alergia_antifungicos,Alergia a antifúngicos,Antifungal allergy
alergia_cefalosporinas,Alergia a cefalosporinas,Cephalosporin allergy
alergia_penicilinas,Alergia a penicilinas,Penicillin allergy
alergia_sulfonamidas,Alergia a sulfonamidas,Sulphonamide allergy
anemia_nao_diagnosticada,Anemia sem diagnóstico etiológico,Anaemia without an established cause
anemia_neutropenia,Anemia / neutropenia prévia,Prior anaemia / neutropenia
angioedema_previo,Angioedema prévio (IECA/hereditário),Previous angioedema (ACE-i/hereditary)
anuria,Anúria,Anuria
asma,Asma (broncospasmo),Asthma (bronchospasm)
asma_aine,Asma induzida por AINE,NSAID-induced asthma
asma_dpoc,Asma / DPOC,Asthma / COPD
asma_grave,Asma grave do doente / asma induzida por opioides,Severe asthma / opioid-induced asthma
avc_hemorragico,AVC hemorrágico,Haemorrhagic stroke
avc_hemorragico_previo,AVC hemorrágico prévio,Prior haemorrhagic stroke
bloqueio_av,Bloqueio auriculoventricular,Atrioventricular block
cancro_bexiga,Cancro da bexiga (ativo ou história),Bladder cancer (active or history)
cancro_mama,"Cancro da mama (conhecido, suspeito ou história)","Breast cancer (known, suspected or history)"
cancro_prostata_psa,Cancro da próstata / vigilância do PSA,Prostate cancer / PSA surveillance
cardiopatia_estrutural,Cardiopatia estrutural (disfunção ventricular),Structural heart disease (ventricular dysfunction)
cardiopatia_isquemica,Cardiopatia isquémica,Ischaemic heart disease
cirrose_hepatica,Cirrose hepática,Hepatic cirrhosis
cirurgia_catarata,Cirurgia de catarata (síndrome IFIS),Cataract surgery (IFIS syndrome)
colestase,Colestase,Cholestasis
colestase_obstrutiva,Colestase obstrutiva (obstrução biliar),Obstructive cholestasis (biliary obstruction)
colite_ulcerosa_aguda,Colite ulcerosa aguda / colite pseudomembranosa,Acute ulcerative colitis / pseudomembranous colitis
contraste_iodado,Contraste iodado intravascular,Intravascular iodinated contrast
criancas,Crianças (idade < 12 anos),Children (age < 12 years)
deficiencia_folato,Deficiência de folato,Folate deficiency
deficiencia_g6pd,Défice de glicose-6-fosfato desidrogenase,Glucose-6-phosphate dehydrogenase deficiency
deficiencia_proteina_c,Défice de proteína C ou S,Protein C or S deficiency
deficiencia_tpmt,Deficiência de TPMT,TPMT deficiency
dependencia_opioides,Doentes dependentes de opioides,Opioid-dependent patients
depressao_medula_ossea,Depressão da medula óssea (história),History of bone marrow depression
depressao_respiratoria,Depressão respiratória (hipoxias/hipocapnia),Respiratory depression (hypoxias/hypocapnia)
diabetes_mellitus,Diabetes mellitus,Diabetes mellitus
doenca_cardiovascular,Doença cardiovascular,Cardiovascular disease
