slug,farmaco_slug,doenca_slug,tipo_interacao,severidade,motivo_pt,motivo_en,conselho_pt,conselho_en,fonte_pt,fonte_en,estado
warfarina_avc_hemorragico,warfarina,avc_hemorragico,contraindication,critical,"A varfarina é contraindicada em doentes com hemorragia cerebral, pois o risco de novo sangramento excede qualquer benefício anticoagulante.",Warfarin is contraindicated in patients with cerebral haemorrhage because the risk of further bleeding outweighs any anticoagulant benefit.,"Não utilizar varfarina após AVC hemorrágico; após AVC isquémico, a reintrodução deve ser ponderada com base no tamanho do enfarte e no controlo tensional.","Do not use warfarin after haemorrhagic stroke; after ischaemic stroke, reintroduction must balance infarct size and blood pressure control.",EMC-UK (MHRA) — SmPC aprovada Varfarina: https://www.medicines.org.uk/emc/product/2803/smpc,EMC-UK (MHRA) — approved Warfarin SmPC: https://www.medicines.org.uk/emc/product/2803/smpc,publicado
warfarina_hemorragia_significativa,warfarina,hemorragia_significativa,contraindication,critical,"Qualquer situação de hemorragia clinicamente significativa, ou condição em que o risco hemorrágico exceda o benefício clínico, contraindica a anticoagulação.","Any clinically significant bleeding, or a condition where bleeding risk outweighs clinical benefit, contraindicates anticoagulation.",Não iniciar varfarina em doentes com hemorragia ativa ou risco hemorrágico elevado; reavaliar periodicamente a necessidade de anticoagulação.,Do not start warfarin in actively bleeding patients or those at high bleeding risk; reassess the need for anticoagulation regularly.,EMC-UK (MHRA) — SmPC aprovada Varfarina: https://www.medicines.org.uk/emc/product/2803/smpc,EMC-UK (MHRA) — approved Warfarin SmPC: https://www.medicines.org.uk/emc/product/2803/smpc,publicado
warfarina_deficiencia_proteina_c,warfarina,deficiencia_proteina_c,precaution,moderate,O défice de proteína C ou S predispõe a necrose cutânea durante o início do tratamento com varfarina.,Protein C or S deficiency predisposes to skin necrosis during warfarin initiation.,Introduzir a varfarina sem dose de ataque nestes doentes e com monitorização próxima.,"Start warfarin without a loading dose in these patients, with close monitoring.",EMC-UK (MHRA) — SmPC aprovada Varfarina: https://www.medicines.org.uk/emc/product/2803/smpc,EMC-UK (MHRA) — approved Warfarin SmPC: https://www.medicines.org.uk/emc/product/2803/smpc,publicado
warfarina_ulcera_peptica_ativa,warfarina,ulcera_peptica_ativa,precaution,moderate,A úlcera péptica ativa confere risco elevado de hemorragia gastrointestinal grave durante a anticoagulação.,Active peptic ulceration carries a high risk of serious gastrointestinal bleeding during anticoagulation.,"Ponderar o risco-benefício, educar o doente para os sinais de hemorragia e manter o INR dentro do intervalo terapêutico.","Weigh risk-benefit, educate the patient on bleeding signs and keep INR within the therapeutic range.",EMC-UK (MHRA) — SmPC aprovada Varfarina: https://www.medicines.org.uk/emc/product/2803/smpc,EMC-UK (MHRA) — approved Warfarin SmPC: https://www.medicines.org.uk/emc/product/2803/smpc,publicado
atorvastatina_doenca_hepatica_ativa,atorvastatina,doenca_hepatica_ativa,contraindication,critical,A atorvastatina está contraindicada na doença hepática ativa ou em elevações persistentes das transaminases acima de 3 vezes o limite superior do normal.,Atorvastatin is contraindicated in active liver disease or persistent transaminase elevations above 3 times the upper limit of normal.,"Não iniciar o fármaco nestas situações; se a elevação se mantiver durante o tratamento, reduzir a dose ou suspender.","Do not start the drug in these cases; if elevation persists during therapy, reduce the dose or discontinue.",EMC-UK (MHRA) — SmPC aprovada Atorvastatina: https://www.medicines.org.uk/emc/product/13672/smpc,EMC-UK (MHRA) — approved Atorvastatin SmPC: https://www.medicines.org.uk/emc/product/13672/smpc,publicado
atorvastatina_historia_doenca_hepatica,atorvastatina,historia_doenca_hepatica,precaution,moderate,A história de doença hepática e o consumo substancial de álcool aumentam o risco de elevação das enzimas hepáticas e de rabdomiólise.,A history of liver disease and substantial alcohol intake increase the risk of liver enzyme elevation and rhabdomyolysis.,Monitorizar a função hepática antes e durante o tratamento e medir a CK antes de iniciar.,Monitor liver function before and during treatment and measure CK before starting.,EMC-UK (MHRA) — SmPC aprovada Atorvastatina: https://www.medicines.org.uk/emc/product/13672/smpc,EMC-UK (MHRA) — approved Atorvastatin SmPC: https://www.medicines.org.uk/emc/product/13672/smpc,publicado
atorvastatina_avc_hemorragico_previo,atorvastatina,avc_hemorragico_previo,precaution,moderate,"No estudo SPARCL, a atorvastatina 80 mg associou-se a maior incidência de AVC hemorrágico, sobretudo em doentes com AVC hemorrágico ou enfarte lacunar prévios.","In the SPARCL trial, atorvastatin 80 mg was associated with a higher incidence of haemorrhagic stroke, particularly in patients with prior haemorrhagic stroke or lacunar infarct.",Ponderar cuidadosamente o risco-benefício antes de iniciar atorvastatina 80 mg nestes doentes.,Carefully weigh risk-benefit before starting atorvastatin 80 mg in these patients.,EMC-UK (MHRA) — SmPC aprovada Atorvastatina: https://www.medicines.org.uk/emc/product/13672/smpc,EMC-UK (MHRA) — approved Atorvastatin SmPC: https://www.medicines.org.uk/emc/product/13672/smpc,publicado
atorvastatina_fatores_rabdomiolise,atorvastatina,fatores_rabdomiolise,precaution,moderate,"A insuficiência renal, o hipotiroidismo, as miopatias hereditárias, a idade superior a 70 anos e a toxicidade muscular prévia com estatinas predispõem à rabdomiólise.","Renal impairment, hypothyroidism, hereditary muscle disorders, age over 70 and prior statin muscle toxicity predispose to rhabdomyolysis.","Medir a CK antes de iniciar; orientar o doente a reportar dor, cãibras ou fraqueza muscular e suspender o fármaco em caso de elevação clinicamente relevante.","Measure CK before starting; instruct the patient to report muscle pain, cramps or weakness and stop the drug if a clinically significant elevation occurs.",EMC-UK (MHRA) — SmPC aprovada Atorvastatina: https://www.medicines.org.uk/emc/product/13672/smpc,EMC-UK (MHRA) — approved Atorvastatin SmPC: https://www.medicines.org.uk/emc/product/13672/smpc,publicado
carbamazepina_bloqueio_av,carbamazepina,bloqueio_av,contraindication,critical,A carbamazepina tem efeitos na condução cardíaca; o bloqueio auriculoventricular é uma contraindicação absoluta.,Carbamazepine affects cardiac conduction; atrioventricular block is an absolute contraindication.,Não prescrever a doentes com bloqueio AV; considerar terapêutica antiepilética alternativa.,Do not prescribe to patients with AV block; consider alternative antiepileptic therapy.,EMC-UK (MHRA) — SmPC aprovada Carbamazepina: https://www.medicines.org.uk/emc/product/1040/smpc,EMC-UK (MHRA) — approved Carbamazepine SmPC: https://www.medicines.org.uk/emc/product/1040/smpc,publicado
carbamazepina_depressao_medula_ossea,carbamazepina,depressao_medula_ossea,contraindication,critical,A carbamazepina está contraindicada em doentes com história de depressão da medula óssea; podem ocorrer agranulocitose e anemia aplástica.,Carbamazepine is contraindicated in patients with a history of bone marrow depression; agranulocytosis and aplastic anaemia may occur.,"Não utilizar nestes doentes; durante o tratamento, vigiar o hemograma e suspender em caso de leucopenia grave ou progressiva.","Do not use in these patients; during therapy, monitor the blood count and stop if severe or progressive leucopenia develops.",EMC-UK (MHRA) — SmPC aprovada Carbamazepina: https://www.medicines.org.uk/emc/product/1040/smpc,EMC-UK (MHRA) — approved Carbamazepine SmPC: https://www.medicines.org.uk/emc/product/1040/smpc,publicado
carbamazepina_porfiria_hepatica,carbamazepina,porfiria_hepatica,contraindication,critical,"As porfirias hepáticas (intermitente aguda, variegata e cutânea tardia) contraindicam a carbamazepina.","Hepatic porphyrias (acute intermittent, variegate and cutanea tarda) contraindicate carbamazepine.",Não prescrever a doentes com história de porfiria hepática.,Do not prescribe to patients with a history of hepatic porphyria.,EMC-UK (MHRA) — SmPC aprovada Carbamazepina: https://www.medicines.org.uk/emc/product/1040/smpc,EMC-UK (MHRA) — approved Carbamazepine SmPC: https://www.medicines.org.uk/emc/product/1040/smpc,publicado
carbamazepina_hiponatremia,carbamazepina,hiponatremia,precaution,moderate,"A carbamazepina pode causar hiponatremia, com risco aumentado em doentes com doença renal, utilização de diuréticos ou em idosos.","Carbamazepine can cause hyponatraemia, with increased risk in renal disease, diuretic use or elderly patients.","Medir o sódio sérico antes do início, às 2 semanas e depois mensalmente nos primeiros meses; instituir restrição hídrica se ocorrer hiponatremia.","Check serum sodium before start, at 2 weeks and then monthly for the first months; institute fluid restriction if hyponatraemia occurs.",EMC-UK (MHRA) — SmPC aprovada Carbamazepina: https://www.medicines.org.uk/emc/product/1040/smpc,EMC-UK (MHRA) — approved Carbamazepine SmPC: https://www.medicines.org.uk/emc/product/1040/smpc,publicado
carbamazepina_hla_b1502,carbamazepina,hla_b1502,precaution,moderate,"O alelo HLA-B*1502 associa-se fortemente ao risco de síndrome de Stevens-Johnson com carbamazepina em populações han chinesas, tailandesas e malaias.","The HLA-B*1502 allele is strongly associated with Stevens-Johnson syndrome risk with carbamazepine in Han Chinese, Thai and Malay populations.","Rastrear o alelo antes do início sempre que possível; se positivo, não iniciar o fármaco salvo ausência de alternativa.","Screen for the allele before starting whenever possible; if positive, do not start the drug unless no alternative exists.",EMC-UK (MHRA) — SmPC aprovada Carbamazepina: https://www.medicines.org.uk/emc/product/1040/smpc,EMC-UK (MHRA) — approved Carbamazepine SmPC: https://www.medicines.org.uk/emc/product/1040/smpc,publicado
levotiroxina_tireotoxicose,levotiroxina,tireotoxicose,contraindication,critical,"A levotiroxina está contraindicada na tireotoxicose não tratada, pois pode agravar o estado hipermetabólico.","Levothyroxine is contraindicated in untreated thyrotoxicosis, as it can worsen the hypermetabolic state.",Não iniciar a terapêutica em doentes com TSH suprimido não tratado; confirmar o estado tiroideu antes do início.,Do not start therapy in patients with untreated suppressed TSH; confirm thyroid status before starting.,EMC-UK (MHRA) — SmPC aprovada Levotiroxina: https://www.medicines.org.uk/emc/product/12781/smpc,EMC-UK (MHRA) — approved Levothyroxine SmPC: https://www.medicines.org.uk/emc/product/12781/smpc,publicado
levotiroxina_insuficiencia_adrenal,levotiroxina,insuficiencia_adrenal,contraindication,critical,As hormonas tiroideias aumentam a depuração metabólica dos glucocorticoides e podem precipitar crise adrenal na insuficiência suprarrenal não corrigida.,Thyroid hormones increase the metabolic clearance of glucocorticoids and may precipitate adrenal crisis in uncorrected adrenal insufficiency.,"Corrigir a insuficiência suprarrenal e iniciar o corticoide antes da levotiroxina, sobretudo no hipopituitarismo.","Correct adrenal insufficiency and start corticosteroid before levothyroxine, especially in hypopituitarism.",EMC-UK (MHRA) — SmPC aprovada Levotiroxina: https://www.medicines.org.uk/emc/product/12781/smpc,EMC-UK (MHRA) — approved Levothyroxine SmPC: https://www.medicines.org.uk/emc/product/12781/smpc,publicado
levotiroxina_enfarte_agudo_miocardio,levotiroxina,enfarte_agudo_miocardio,contraindication,critical,"A hormona tiroideia aumenta o trabalho cardíaco; a levotiroxina está contraindicada durante o enfarte agudo do miocárdio, miocardite e pancardite agudas.","Thyroid hormone increases cardiac work; levothyroxine is contraindicated during acute myocardial infarction, myocarditis and acute pancarditis.",Não iniciar na fase aguda destas condições; estabilizar o estado cardíaco antes do tratamento.,Do not start during the acute phase of these conditions; stabilise cardiac status before treatment.,EMC-UK (MHRA) — SmPC aprovada Levotiroxina: https://www.medicines.org.uk/emc/product/12781/smpc,EMC-UK (MHRA) — approved Levothyroxine SmPC: https://www.medicines.org.uk/emc/product/12781/smpc,publicado
levotiroxina_doenca_cardiovascular,levotiroxina,doenca_cardiovascular,precaution,moderate,O excesso de tratamento pode agravar angina ou arritmias; a doença cardíaca oculta é mais provável nos idosos.,Overtreatment can worsen angina or arrhythmias; occult cardiac disease is more likely in the elderly.,"Iniciar com doses baixas e titular gradualmente, com ECG nos doentes de risco e monitorização do TSH.","Start at low doses and titrate gradually, with ECG in at-risk patients and TSH monitoring.",EMC-UK (MHRA) — SmPC aprovada Levotiroxina: https://www.medicines.org.uk/emc/product/12781/smpc,EMC-UK (MHRA) — approved Levothyroxine SmPC: https://www.medicines.org.uk/emc/product/12781/smpc,publicado
metformina_insuficiencia_renal_grave,metformina,insuficiencia_renal_grave,contraindication,critical,A metformina está contraindicada quando a TFG < 30 mL/min; a acumulação do fármaco aumenta o risco de acidose láctica.,Metformin is contraindicated when eGFR < 30 mL/min; drug accumulation increases the risk of lactic acidosis.,Não prescrever com TFG < 30 mL/min; ajustar a dose entre 30 e 89 mL/min e suspender temporariamente em situações agudas que alterem a função renal.,Do not prescribe when eGFR < 30 mL/min; adjust the dose between 30 and 89 mL/min and stop temporarily in acute conditions altering renal function.,EMC-UK (MHRA) — SmPC aprovada Metformina: https://www.medicines.org.uk/emc/product/987/smpc,EMC-UK (MHRA) — approved Metformin SmPC: https://www.medicines.org.uk/emc/product/987/smpc,publicado
