slug,farmaco_a_slug,farmaco_b_slug,severidade,resumo_pt,resumo_en,resumo_pro_pt,resumo_pro_en,explicacao_pt,explicacao_en,mecanismo_pt,mecanismo_en,conselho_pt,conselho_en,monitorizacao_pt,monitorizacao_en,red_flags_pt,red_flags_en,fonte_pt,fonte_en,estado,data_revisao
acetazolamida_furosemida,acetazolamida,furosemida,moderate,O acetazolamida somado à furosemida pode aprofundar a acidose e a depleção de potássio.,Adding acetazolamide to furosemide may deepen metabolic acidosis and hypokalaemia.,Acetazolamida + furosemida: perda renal aditiva de potássio com risco de hipocaliemia e alcalose. Monitorizar eletrólitos.,Acetazolamide + furosemide: additive renal potassium loss with a risk of hypokalaemia and alkalosis. Monitor electrolytes.,"A acetazolamida (inibidor da anidrase carbónica) promove perda renal de bicarbonato, sódio, água e potássio, e a furosemida causa também perda de potássio e alcalose hipoclorémica; o rótulo da acetazolamida contraindica o uso quando os níveis séricos de sódio e/ou potássio estão deprimidos. Em conjunto, o risco de hipocaliemia, hiponatremia e alcalose é aditivo, com potencial para arritmias, fraqueza e piora do estado clínico em doentes com insuficiência cardíaca ou hepática. Recomenda-se monitorizar os eletrólitos séricos (potássio, sódio, bicarbonato) e a função renal durante a associação.","Acetazolamide (carbonic anhydrase inhibitor) promotes renal loss of bicarbonate, sodium, water and potassium, and furosemide also causes potassium loss and hypochloraemic alkalosis; the acetazolamide label contraindicates its use when serum sodium and/or potassium levels are depressed. Together, the risk of hypokalaemia, hyponatraemia and alkalosis is additive, with potential for arrhythmias, weakness and clinical worsening in patients with heart or liver failure. Monitor serum electrolytes (potassium, sodium, bicarbonate) and renal function during the combination.",Ambos causam perda de bicarbonato/cloro e potássio; risco de acidose metabólica acentuada.,Both cause bicarbonate/chloride and potassium loss; risk of marked metabolic acidosis.,Monitorizar gasometria e eletrólitos; usar com precaução em idosos.,Monitor gases and electrolytes; use cautiously in the elderly.,"Potássio, cloro, pH.","Potassium, chloride, pH.",Sinais de acidose (respiração de Kussmaul) ou arritmia.,Signs of acidosis (Kussmaul breathing) or arrhythmia.,"DailyMed (FDA) — rótulo aprovado Acetazolamida: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=268db224-d5db-457c-86bc-972c9fe07917 ; rótulo aprovado Furosemida: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d9caaab-d874-4cf1-b9fe-408452a18998 — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Acetazolamide label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=268db224-d5db-457c-86bc-972c9fe07917 ; approved Furosemide label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d9caaab-d874-4cf1-b9fe-408452a18998 — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
acido_ascorbico_ferro,acido_ascorbico,ferro,moderate,Ferro + vitamina C: a vitamina C aumenta a absorção do ferro oral.,Iron + vitamin C: vitamin C increases oral iron absorption.,,,,,"O ácido ascórbico reduz o ferro férrico a ferroso e forma complexos solúveis, melhorando a absorção intestinal.","Ascorbic acid reduces ferric to ferrous iron and forms soluble complexes, improving intestinal absorption.",Associação favorável: pode permitir reduzir a dose de ferro; vigiar sobrecarga em doentes com risco.,Favourable combination: may allow a lower iron dose; watch for overload in at-risk patients.,Ferritina e hemoglobina.,Ferritin and haemoglobin.,Sinais de sobrecarga de ferro (raro com doses habituais).,Signs of iron overload (rare at usual doses).,"DailyMed (FDA) — rótulo aprovado Ferro: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e88a847-397b-4ddb-83d7-42c9b963a0b7 ; rótulo aprovado Ácido ascórbico (vitamina C): https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1606e29f-0e80-4069-b688-daab9cbff20a — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Iron label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e88a847-397b-4ddb-83d7-42c9b963a0b7 ; approved Ascorbic acid (vitamin C) label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1606e29f-0e80-4069-b688-daab9cbff20a — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
acido_ascorbico_warfarina,acido_ascorbico,warfarina,moderate,Varfarina + vitamina C (doses elevadas): possível alteração do INR.,Warfarin + vitamin C (high doses): possible INR change.,,,,,Doses muito elevadas de vitamina C podem interferir com a anticoagulação (mecanismo não totalmente esclarecido).,Very high vitamin C doses may interfere with anticoagulation (mechanism not fully clarified).,Evitar doses altas (>1 g/dia) sem monitorização; vigiar INR.,Avoid high doses (>1 g/day) without monitoring; check INR.,INR periódico.,Periodic INR.,Sinais de hemorragia ou trombose.,Signs of bleeding or thrombosis.,"DailyMed (FDA) — rótulo aprovado Varfarina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=541c9a70-adaf-4ef3-94ba-ad4e70dfa057 ; rótulo aprovado Ácido ascórbico (vitamina C): https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1606e29f-0e80-4069-b688-daab9cbff20a — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Warfarin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=541c9a70-adaf-4ef3-94ba-ad4e70dfa057 ; approved Ascorbic acid (vitamin C) label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1606e29f-0e80-4069-b688-daab9cbff20a — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
acido_folico_ciprofloxacina,acido_folico,ciprofloxacina,minor,Associação geralmente sem interação relevante; pode manter-se a terapêutica habitual.,The combination is generally safe with no relevant interaction; usual therapy can be maintained.,Associação geralmente sem interação relevante; pode manter-se a terapêutica habitual.,The combination is generally safe with no relevant interaction; usual therapy can be maintained.,"O ácido fólico e a ciprofloxacina não partilham vias farmacocinéticas ou farmacodinâmicas que justifiquem uma interação clinicamente relevante. Não há evidência de que a ciprofloxacina altere os níveis de folato ou que o ácido fólico interfira com a atividade antibacteriana da fluoroquinolona. A associação é comum na prática (por exemplo, profilaxia em doentes imunodeprimidos) e pode ser mantida sem ajustes, respeitando apenas os horários habituais de cada fármaco.","Folic acid and ciprofloxacin do not share pharmacokinetic or pharmacodynamic pathways that would justify a clinically relevant interaction. There is no evidence that ciprofloxacin alters folate levels or that folic acid interferes with the antibacterial activity of the fluoroquinolone. The combination is common in practice (for example, prophylaxis in immunocompromised patients) and can be maintained without adjustments, only respecting the usual schedules of each drug.",Sem mecanismo de interação conhecido entre folato e fluoroquinolonas.,No known interaction mechanism between folate and fluoroquinolones.,Sem necessidade de ajuste posológico.,No dose adjustment needed.,Sem monitorização adicional específica.,No specific additional monitoring.,Sem sinais de alerta específicos.,No specific red flags.,"DailyMed (FDA) — rótulo aprovado Ácido fólico: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0baa10dd-6d1d-4946-8236-566451132da3 ; rótulo aprovado Ciprofloxacina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c527d138-e32c-418f-9573-a3d8a796279f — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Folic acid label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0baa10dd-6d1d-4946-8236-566451132da3 ; approved Ciprofloxacin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c527d138-e32c-418f-9573-a3d8a796279f — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
acido_folico_sulfassalazina,acido_folico,sulfassalazina,moderate,"A sulfassalazina pode reduzir a absorção do ácido fólico e o seu efeito, sobretudo em uso prolongado.","Sulfasalazine may reduce folic acid absorption and its effect, especially with long-term use.",Ácido fólico + sulfassalazina: a sulfassalazina reduz a absorção intestinal de folato (sulfapiridina). Suplementar e monitorizar níveis de folato.,Folic acid + sulfasalazine: sulfasalazine reduces intestinal folate absorption (sulfapyridine). Supplement and monitor folate levels.,"O rótulo da sulfassalazina documenta que ""foi notificada redução da absorção de ácido fólico e digoxina quando estes agentes foram administrados concomitantemente com sulfassalazina"" e que ""a sulfassalazina inibe a absorção e o metabolismo do ácido fólico, o que pode interferir com a suplementação de ácido fólico"". O mecanismo envolve a sulfapiridina (metabolito da sulfassalazina), que inibe o transportador intestinal de folato reduzido (RFC). Esta interação é particularmente relevante em mulheres em idade fértil com DII (risco de defeitos do tubo neural) e em doentes com anemia megaloblástica ou doses elevadas de sulfassalazina. Suplementar com ácido fólico 1 mg/dia (ou 5 mg se planeamento de gravidez) e monitorizar os níveis séricos de folato, hemoglobina e VCM; considerar doses divididas de sulfassalazina para minimizar a exposição à sulfapiridina.","The sulfasalazine label documents that ""reduced absorption of folic acid and digoxin have been reported when these agents were administered concomitantly with sulfasalazine"" and that ""sulfasalazine inhibits the absorption and metabolism of folic acid, which may interfere with folic acid supplementation"". The mechanism involves sulfapyridine (a sulfasalazine metabolite) which inhibits the reduced folate carrier (RFC) intestinal transporter. This interaction is particularly relevant in women of childbearing age with IBD (risk of neural tube defects) and in patients with megaloblastic anaemia or high-dose sulfasalazine. Supplement with folic acid 1 mg/day (or 5 mg if planning pregnancy) and monitor serum folate levels, haemoglobin and MCV; consider divided doses of sulfasalazine to minimise sulfapyridine exposure.",Inibição do transportador de folato intestinal pela sulfapiridina (metabolito da sulfassalazina).,Inhibition of the intestinal folate transporter by sulfapyridine (a sulfasalazine metabolite).,"Considerar suplementação de ácido fólico em doentes em tratamento prolongado, sobretudo se anemia ou gravidez.","Consider folic acid supplementation in patients on long-term therapy, especially with anaemia or pregnancy.",Vigiar hemograma e sinais de anemia megaloblástica.,Monitor blood count and signs of megaloblastic anaemia.,Anemia megaloblástica.,Megaloblastic anaemia.,"DailyMed (FDA) — rótulo aprovado Sulfassalazina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d967092f-9685-446b-b7b8-17821e29417b ; rótulo aprovado Ácido fólico: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0baa10dd-6d1d-4946-8236-566451132da3 — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Sulfasalazine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d967092f-9685-446b-b7b8-17821e29417b ; approved Folic acid label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0baa10dd-6d1d-4946-8236-566451132da3 — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
acido_tranexamico_enoxaparina,acido_tranexamico,enoxaparina,moderate,O ácido tranexâmico combinado com enoxaparina aumenta o risco trombótico; avaliar criteriosamente a indicação.,Tranexamic acid combined with enoxaparin increases thrombotic risk; assess the indication carefully.,Ácido tranexâmico + enoxaparina: antifibrinolítico + anticoagulante — mecanismos opostos na hemostase. Avaliar risco/benefício e vigiar trombose/hemorragia.,Tranexamic acid + enoxaparin: antifibrinolytic + anticoagulant — opposing haemostasis mechanisms. Assess risk/benefit and watch thrombosis/bleeding.,"Não existe interação farmacocinética documentada entre o ácido tranexâmico (antifibrinolítico — inibe a dissolução da fibrina pela plasmina) e a enoxaparina (anticoagulante); o problema é a combinação de mecanismos opostos na hemostase: o rótulo do ácido tranexâmico contraindica o fármaco em doentes com doença tromboembólica ativa ou risco intrínseco de trombose, e o da enoxaparina adverte para o risco hemorrágico com fármacos que afetam a hemostase. A associação ocorre em situações de hemorragia aguda em doentes anticoagulados (ex.: trauma, hemorragia major) onde o antifibrinolítico é usado para controlo hemorrágico — decisão clínica de risco/benefício. Durante a associação, vigiar sinais de hemorragia e de trombose (TVP, TEP, oclusão vascular) e monitorizar o hemograma; o ácido tranexâmico deve ser suspenso se surgirem sintomas visuais ou suspeita de oclusão retiniana.","There is no documented pharmacokinetic interaction between tranexamic acid (an antifibrinolytic — it inhibits fibrin dissolution by plasmin) and enoxaparin (an anticoagulant); the problem is the combination of opposing haemostasis mechanisms: the tranexamic acid label contraindicates the drug in patients with active thromboembolic disease or an intrinsic risk of thrombosis, and the enoxaparin label warns about the bleeding risk with drugs that affect haemostasis. The combination occurs in acute bleeding situations in anticoagulated patients (e.g. trauma, major haemorrhage) where the antifibrinolytic is used for bleeding control — a clinical risk/benefit decision. During the combination, watch for bleeding and thrombosis signs (DVT, PE, vascular occlusion) and monitor the blood count; tranexamic acid should be stopped if visual symptoms or suspected retinal occlusion occur.",O antifibrinolítico reduz a lise do coágulo enquanto a HBPM acentua a anticoagulação; o balanço é paradoxal e o risco trombótico aditivo em doentes de risco.,The antifibrinolytic reduces clot lysis while LMWH enhances anticoagulation; the balance is paradoxical and thrombotic risk is additive in at-risk patients.,Usar apenas quando a hemorragia supera o risco trombótico; vigiar sinais de trombose.,Use only when bleeding outweighs thrombotic risk; monitor for signs of thrombosis.,"Vigiar sinais de TVP, embolia pulmonar e hemorragia.","Monitor for signs of DVT, pulmonary embolism and bleeding.","Dor ou edema de membro, dispneia súbita, hemorragia persistente.","Limb pain or swelling, sudden dyspnoea, persistent bleeding.","DailyMed (FDA) — rótulo aprovado Ácido tranexâmico: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4877eacd-fda7-4708-93a5-81052c1d2e14 ; rótulo aprovado Enoxaparina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5017a927-2a24-4f27-89f9-27c805bf7d59 — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Tranexamic acid label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4877eacd-fda7-4708-93a5-81052c1d2e14 ; approved Enoxaparin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5017a927-2a24-4f27-89f9-27c805bf7d59 — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
adrenalina_amiodarona,adrenalina,amiodarona,moderate,Adrenalina + antiarrítmico: risco de arritmias ventriculares.,Epinephrine + antiarrhythmic: risk of ventricular arrhythmias.,Adrenalina + amiodarona: risco aumentado de arritmias ventriculares e taquicardia (a amiodarona prolonga o QT e a adrenalina aumenta a automaticidade). Usar com precaução e vigiar ECG.,Epinephrine + amiodarone: increased risk of ventricular arrhythmias and tachycardia (amiodarone prolongs QT and epinephrine increases automaticity). Use with caution and monitor ECG.,"A amiodarona prolonga o intervalo QT e a repolarização ventricular, e a adrenalina, ao estimular os recetores beta e alfa, aumenta a automaticidade e o consumo de oxigénio do miocárdio. Em conjunto, o risco de taquicardias ventriculares e de extrassistolia aumenta, sobretudo em contexto de emergência (paragem cardiorrespiratória, anafilaxia) ou de cardiopatia isquémica. A hipocaliemia favorece ainda mais as arritmias. Recomenda-se monitorizar o ECG, corrigir eletrólitos (potássio e magnésio) e usar as menores doses eficazes de adrenalina.","Amiodarone prolongs the QT interval and ventricular repolarisation, and epinephrine, by stimulating beta and alpha receptors, increases automaticity and myocardial oxygen demand. Together they raise the risk of ventricular tachycardias and extrasystoles, especially in emergencies (cardiac arrest, anaphylaxis) or ischaemic heart disease. Hypokalaemia further favours arrhythmias. Monitor the ECG, correct electrolytes (potassium and magnesium) and use the lowest effective epinephrine doses.","A estimulação adrenérgica adiciona-se a fármacos que prolongam a repolarização, aumentando o risco de arritmia.","Adrenergic stimulation adds to drugs that prolong repolarisation, increasing arrhythmia risk.",Usar com precaução em doentes com doença cardíaca; monitorizar ritmo cardíaco.,Use with caution in cardiac patients; monitor heart rhythm.,Eletrocardiograma e tensão arterial.,ECG and blood pressure.,"Palpitações, taquicardia, arritmias ventriculares.","Palpitations, tachycardia, ventricular arrhythmias.","DailyMed (FDA) — rótulo aprovado Adrenalina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; rótulo aprovado Amiodarona: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Epinephrine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; approved Amiodarone label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51a88e8e-da02-4b97-9e7e-442fbffd908d — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
adrenalina_ciprofloxacina,adrenalina,ciprofloxacina,minor,Adrenalina + fluoroquinolona: risco teórico de prolongamento do QTc.,Epinephrine + fluoroquinolone: theoretical risk of QTc prolongation.,Adrenalina + fluoroquinolona: risco teórico de prolongamento do QTc. Vigiar ECG em doentes de risco.,Epinephrine + fluoroquinolone: theoretical risk of QTc prolongation. Monitor the ECG in at-risk patients.,"Tanto a adrenalina como a ciprofloxacina podem, em circunstâncias particulares, contribuir para o prolongamento do intervalo QT, embora o risco aditivo seja essencialmente teórico para esta associação. Na prática clínica a combinação surge sobretudo em contexto de emergência (anafilaxia em doente a tomar ciprofloxacina) ou de infeção grave com instabilidade hemodinâmica. Não é necessário evitar a associação, mas em doentes com fatores de risco (QT longo congénito, hipocaliemia, bradicardia, outros fármacos que prolonguem o QT) é prudente vigiar o ECG e corrigir eletrólitos.","Both epinephrine and ciprofloxacin can, in particular circumstances, contribute to QT interval prolongation, although the additive risk is essentially theoretical for this combination. In clinical practice the combination arises mainly in emergencies (anaphylaxis in a patient taking ciprofloxacin) or in severe infection with haemodynamic instability. The combination does not need to be avoided, but in patients with risk factors (congenital long QT, hypokalaemia, bradycardia, other QT-prolonging drugs) it is prudent to monitor the ECG and correct electrolytes.",Ambos podem prolongar o intervalo QTc em doentes suscetíveis.,Both may prolong the QTc interval in susceptible patients.,Usar com precaução em doentes com fatores de risco de QTc prolongado.,Use with caution in patients with QTc risk factors.,Eletrocardiograma em doentes de risco.,ECG in at-risk patients.,"Palpitações, síncope.","Palpitations, syncope.","DailyMed (FDA) — rótulo aprovado Adrenalina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; rótulo aprovado Ciprofloxacina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c527d138-e32c-418f-9573-a3d8a796279f — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Epinephrine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; approved Ciprofloxacin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c527d138-e32c-418f-9573-a3d8a796279f — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
adrenalina_digoxina,adrenalina,digoxina,moderate,Adrenalina + digoxina: risco de arritmias (sensibilização miocárdica).,Epinephrine + digoxin: risk of arrhythmias (myocardial sensitisation).,Adrenalina + digoxina: risco aumentado de arritmias ventriculares (a digoxina sensibiliza o miocárdio à estimulação beta-adrenérgica). Usar com precaução e vigiar ECG.,Epinephrine + digoxin: increased risk of ventricular arrhythmias (digoxin sensitises the myocardium to beta-adrenergic stimulation). Use with caution and monitor the ECG.,"A digoxina sensibiliza o miocárdio à estimulação simpática: a adrenalina, ao estimular os recetores beta e alfa, aumenta a automaticidade e pode precipitar arritmias ventriculares, incluindo taquicardia ventricular, em doentes digitálicos. O risco é maior com hipocaliemia (que a própria digoxina favorece) e com doses elevadas de adrenalina. Esta associação surge sobretudo em contexto de emergência (paragem cardiorrespiratória, anafilaxia) ou em doentes com insuficiência cardíaca avançada. Recomenda-se monitorizar o ECG durante a administração, corrigir eletrólitos (sobretudo potássio e magnésio) e usar as menores doses eficazes de adrenalina.","Digoxin sensitises the myocardium to sympathetic stimulation: epinephrine, by stimulating beta and alpha receptors, increases automaticity and can precipitate ventricular arrhythmias, including ventricular tachycardia, in digitalised patients. The risk is higher with hypokalaemia (which digoxin itself favours) and with high epinephrine doses. This combination arises mainly in emergencies (cardiac arrest, anaphylaxis) or in patients with advanced heart failure. Monitor the ECG during administration, correct electrolytes (especially potassium and magnesium) and use the lowest effective epinephrine doses.",Ambos aumentam a automaticidade miocárdica; a hipocaliemia potenciada aumenta o risco de arritmias.,Both increase myocardial automaticity; potentiated hypokalaemia increases arrhythmia risk.,Monitorizar ritmo cardíaco e potássio em doentes com doença cardíaca.,Monitor heart rhythm and potassium in cardiac patients.,Eletrocardiograma e potássio sérico.,ECG and serum potassium.,"Arritmias, palpitações, hipocaliemia.","Arrhythmias, palpitations, hypokalaemia.","DailyMed (FDA) — rótulo aprovado Adrenalina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; rótulo aprovado Digoxina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e61d2108-d871-44c0-b12a-2e61fbb56967 — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Epinephrine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; approved Digoxin label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e61d2108-d871-44c0-b12a-2e61fbb56967 — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
adrenalina_salbutamol,adrenalina,salbutamol,moderate,Adrenalina + β2-agonista: efeitos simpáticos e hipocaliemia aditivos.,Epinephrine + β2-agonist: additive sympathetic effects and hypokalaemia.,"Adrenalina + salbutamol: sobreposição β-adrenérgica — taquicardia, tremores e perda de potássio aditivos. Monitorizar ritmo cardíaco e potássio.","Epinephrine + salbutamol: beta-adrenergic overlap — additive tachycardia, tremor and potassium loss. Monitor cardiac rhythm and potassium.","A adrenalina ativa recetores α e β (β1 e β2) e o salbutamol é um β2-agonista seletivo; em conjunto, a estimulação β aditiva aumenta a taquicardia, os tremores e o desvio intracelular de potássio — o rótulo da adrenalina lista a ""hipocaliemia"" entre as reações adversas e os fármacos que ""potenciam os efeitos hipocaliémicos da epinefrina"", recomendando observar arritmias; o salbutamol ""pode produzir hipocaliemia significativa em alguns doentes... com potencial para efeitos cardiovasculares adversos"". A associação ocorre sobretudo em contexto de emergência (anafilaxia/asma aguda em doente a usar β2-agonistas em casa) e em cuidados intensivos. Monitorizar o ritmo cardíaco e o potássio, sobretudo em doses repetidas ou em doentes com doença coronária.","Epinephrine activates alpha and beta receptors (beta1 and beta2) and salbutamol is a selective beta2-agonist; together, the additive beta stimulation increases tachycardia, tremor and intracellular potassium shift — the epinephrine label lists ""hypokalaemia"" among adverse reactions and the drugs that ""potentiate the hypokalaemic effects of epinephrine"", recommending watching for arrhythmias; salbutamol ""may produce significant hypokalaemia in some patients... with the potential to produce adverse cardiovascular effects"". The combination occurs mainly in emergency settings (anaphylaxis/acute asthma in a patient using beta2-agonists at home) and intensive care. Monitor cardiac rhythm and potassium, especially with repeated doses or in patients with coronary disease.","A sobreposição β-adrenérgica aumenta taquicardia, tremores e perda de potássio.","Overlapping β-adrenergic effects increase tachycardia, tremor and potassium loss.",Monitorizar potássio e sintomas cardiovasculares em doentes de risco.,Monitor potassium and cardiovascular symptoms in at-risk patients.,Potássio e ritmo cardíaco.,Potassium and heart rhythm.,"Palpitações, tremores, hipocaliemia.","Palpitations, tremor, hypokalaemia.","DailyMed (FDA) — rótulo aprovado Adrenalina: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; rótulo aprovado Salbutamol: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3236f82c-14e9-dfd4-e063-6294a90ac43d — referência adicional: Prontuário Terapêutico do INFARMED (11.ª ed., 2012)","DailyMed (FDA) — approved Epinephrine label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d ; approved Salbutamol label: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3236f82c-14e9-dfd4-e063-6294a90ac43d — additional reference: Prontuário Terapêutico do INFARMED (11th ed., 2012)",publicado,
